Public RD&D spending in Million,,Source: IEA All rights reserved ( http://www.iea.org/t&c/termsandconditions/ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Currency,Economic Indicators,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 Estimated,2022 Estimated
Austria,National currency (nominal),Other power and storage technologies ,..,..,..,4.118,3.304,2.175,4.226,4.59,4.31,3.572,4.553,5,4.139,4.163,4.95,3.572,2.299,4.495,2.917,3.151,4.144,3.548,4.167,3.678,4.168,3.03,3.22,4.605,3.789,3.948,7.517,3.89,3.586,2.272,5.195,6.483,17.585,12.231,22.922,22.031,35.289,35.88,31.005,37.201,28.972,20.538,32.364,45.079,..
Austria,National currency (nominal),Other cross-cutting technologies/research,..,..,..,1.373,5.663,3.22,2.267,2.409,2.553,3.85,5.367,5.099,1.831,2.165,2.035,0.796,0.562,0.887,1.259,1.932,1.094,1.612,1.979,2.717,3.585,3,3.263,4.202,3.914,2.688,2.968,2.367,3.947,1.788,8.445,9.662,6.573,6.215,5.992,5.975,3.32,6.031,6.891,6.836,21.867,17.68,12.642,19.049,..
Austria,National currency (nominal),Unallocated,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Austria,National currency (nominal),Total Budget ,..,..,..,19.832,26.068,22.835,25.903,25.537,29.659,29.282,33.547,32.924,20.845,18.612,23.171,13.636,9.999,17.802,15.311,20.847,23.589,24.132,24.295,25.732,27.386,26.527,23.322,29.872,29.18,24.982,33.534,33.6,42.399,31.886,71.167,92.27,120.979,120.823,120.101,124.555,143.101,128.415,140.894,139.34,151.402,149.107,155.183,224.067,..
Austria,National Currency (2021 prices),Energy efficiency,..,..,..,16.7,18.47,17.066,22.028,18.427,21.441,16.528,24.303,21.273,19.128,13.48,17.299,8.395,7.833,9.45,7.924,11.833,14.609,13.32,13.456,12.652,10.116,11.253,10.409,13.059,11.175,7.057,13.452,13.098,13.09,9.846,29.588,46.196,68.116,76.526,65.216,64.362,69.993,63.12,72.164,70.827,70.757,78.015,78.132,95.976,..
Austria,National Currency (2021 prices),Fossil fuels ,..,..,..,1.434,2.103,4.368,0.52,2.803,7.536,3.076,3.98,4.834,0.772,1.246,1.367,0.882,0.267,1.342,1.774,2.048,1.285,1.186,2.513,2.518,0.872,0.957,0.648,0.904,0.58,0.642,0.617,0.302,1.212,1.126,3.408,0.612,1.115,1.335,1.51,5.875,0.699,4.909,1.64,2.541,0.635,1.553,1.68,0.784,..
Austria,National Currency (2021 prices),Renewables ,..,..,..,9.43,12.205,14.011,16.833,12.754,12.286,13.73,7.094,6.87,5.202,5.124,7.816,4.318,2.888,6.619,5.697,7.772,10.054,11.894,9.232,11.052,14.528,13.666,9.509,11.313,13.662,13.808,13.067,16.166,18.137,18.999,30.762,40.193,41.151,39.372,33.22,34.146,36.747,24.512,33.173,23.004,24.54,24.477,21.894,20.484,..
Austria,National Currency (2021 prices),Nuclear,..,..,..,15.642,15.829,12.165,10.811,11,11.254,15.251,14.804,14.053,4.741,4.287,3.503,3.078,1.483,3.526,2.74,3.335,2.424,2.41,2.097,2.498,3.517,4.354,3.936,4.79,4.891,4.049,4.421,4.452,4.817,4.214,5.599,3.68,3.752,3.156,2.964,2.94,1.712,1.443,1.652,1.309,1.935,1.67,1.596,1.562,..
Austria,National Currency (2021 prices),Hydrogen and fuel cells,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.493,8.434,1.488,2.977,3.263,4.316,2.603,4.433,4.518,9.313,1.88,3.443,4.986,8.549,9.755,8.832,41.133,..
Austria,National Currency (2021 prices),Other power and storage technologies ,..,..,..,12.407,9.391,5.938,10.927,11.138,9.929,7.939,9.671,10.303,8.304,8.179,9.17,6.427,4.016,7.576,4.751,4.995,6.407,5.388,6.268,5.463,6.164,4.469,4.686,6.573,5.347,5.499,10.292,5.194,4.699,2.913,6.532,8,21.513,14.694,26.983,25.52,40.007,39.763,33.737,40.076,30.658,21.386,32.939,45.079,..
Austria,National Currency (2021 prices),Other cross-cutting technologies/research,..,..,..,4.137,16.096,8.791,5.862,5.846,5.881,8.556,11.4,10.507,3.673,4.254,3.77,1.432,0.982,1.495,2.051,3.062,1.691,2.448,2.977,4.036,5.301,4.425,4.748,5.998,5.523,3.744,4.064,3.161,5.172,2.292,10.619,11.924,8.041,7.466,7.054,6.921,3.764,6.684,7.498,7.364,23.14,18.41,12.867,19.049,..
Austria,National Currency (2021 prices),Unallocated,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Austria,National Currency (2021 prices),Total Budget ,..,..,..,59.749,74.095,62.341,66.979,61.967,68.326,65.078,71.255,67.841,41.82,36.568,42.926,24.534,17.467,30.004,24.938,33.044,36.47,36.644,36.543,38.22,40.498,39.127,33.937,42.638,41.178,34.799,45.913,44.865,55.563,40.877,89.484,113.868,148.005,145.152,141.381,144.282,162.235,142.311,153.307,150.107,160.214,155.266,157.941,224.067,..
Austria,USD (2021 prices and exchange rates),Energy efficiency ,..,..,..,19.74,21.832,20.173,26.038,21.781,25.344,19.537,28.727,25.145,22.61,15.934,20.448,9.923,9.259,11.17,9.366,13.987,17.268,15.745,15.905,14.955,11.957,13.301,12.304,15.436,13.209,8.342,15.901,15.482,15.473,11.638,34.974,54.605,80.515,90.456,77.087,76.078,82.734,74.61,85.3,83.72,83.637,92.216,92.355,113.447,..
Austria,USD (2021 prices and exchange rates),Fossil fuels,..,..,..,1.695,2.486,5.163,0.615,3.313,8.908,3.636,4.704,5.714,0.913,1.473,1.616,1.043,0.316,1.586,2.097,2.421,1.519,1.402,2.97,2.976,1.031,1.131,0.766,1.069,0.686,0.759,0.729,0.357,1.433,1.331,4.028,0.723,1.318,1.578,1.785,6.944,0.826,5.803,1.939,3.004,0.751,1.836,1.986,0.927,..
Austria,USD (2021 prices and exchange rates),Renewables,..,..,..,11.147,14.427,16.561,19.897,15.076,14.522,16.229,8.385,8.121,6.149,6.057,9.239,5.104,3.414,7.824,6.734,9.187,11.884,14.059,10.913,13.064,17.173,16.154,11.24,13.372,16.149,16.322,15.446,19.109,21.439,22.457,36.362,47.509,48.642,46.539,39.267,40.362,43.436,28.974,39.212,27.191,29.007,28.933,25.879,24.213,..
Austria,USD (2021 prices and exchange rates),Nuclear ,..,..,..,18.489,18.71,14.379,12.779,13.002,13.303,18.027,17.499,16.611,5.604,5.067,4.141,3.638,1.753,4.168,3.239,3.942,2.865,2.849,2.479,2.953,4.157,5.147,4.652,5.662,5.781,4.786,5.226,5.262,5.694,4.981,6.618,4.35,4.435,3.73,3.504,3.475,2.024,1.706,1.953,1.547,2.287,1.974,1.887,1.846,..
Austria,USD (2021 prices and exchange rates),Hydrogen and fuel cells ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.947,9.969,1.759,3.519,3.857,5.102,3.077,5.24,5.34,11.008,2.222,4.07,5.894,10.105,11.531,10.44,48.621,..
Austria,USD (2021 prices and exchange rates),Other power and storage technologies,..,..,..,14.665,11.1,7.019,12.916,13.165,11.736,9.384,11.431,12.178,9.816,9.668,10.839,7.597,4.747,8.955,5.616,5.904,7.573,6.369,7.409,6.457,7.286,5.283,5.539,7.77,6.32,6.5,12.165,6.139,5.554,3.443,7.721,9.456,25.429,17.369,31.895,30.165,47.29,47.001,39.878,47.371,36.239,25.279,38.935,53.285,..
Austria,USD (2021 prices and exchange rates),Other cross-cutting technologies/research ,..,..,..,4.89,19.026,10.391,6.929,6.91,6.952,10.113,13.475,12.42,4.342,5.028,4.456,1.693,1.161,1.767,2.424,3.619,1.999,2.894,3.519,4.771,6.266,5.23,5.612,7.09,6.528,4.426,4.804,3.736,6.113,2.709,12.552,14.095,9.505,8.825,8.338,8.181,4.449,7.901,8.863,8.704,27.352,21.761,15.209,22.517,..
